id,question,image,A,B,C,D,E,answer,explanation,topic,subtopic,difficulty_levels
11, Seorang anak laki-laki berusia 2 tahun dibawa ke RS dengan keluhan belum dapat makan kasar. Sehari hari pasien hanya minum susu dan makan bubur. Apakah program rehabilitasi yang dapat diberikan pada pasien tersebut? ,, Latihan feeding , Semua benar , Latihan penguatan , Latihan menelan , Latihan mengunyah,B,Latihan feeding → perlu untuk adaptasi makan. Latihan penguatan → mendukung fungsi oral. Latihan menelan → penting untuk transisi tekstur makanan. Latihan mengunyah → inti masalah pada makan kasar. Semua benar → semua aspek diperlukan dalam rehabilitasi feeding anak.,ikfr-uab, rehabilitasi pada down syndrome dan pediatri kebutuhan khusus,2
12, Seorang perempuan berusia 50 tahun datang ke Puskesmas dengan keluhan nyeri pergelangan tangan kiri sejak 1 bulan yang lalu tanpa didahului trauma sebelumnya. Nyeri dirasakan sehari hari terutama saat beraktifitas seperti mengetik di kantor. Apakah modalitas yang dapat diberikan pada pasien ini ? ,, Arm rest , EMG , Semua benar , Wrist splint , USG,D,"Arm rest → hanya membantu ergonomi, bukan terapi utama. EMG → alat diagnostik, bukan terapi. Semua benar → tidak tepat karena EMG bukan modalitas terapi. Wrist splint → imobilisasi relatif untuk mengurangi nyeri overuse. USG → bisa sebagai modalitas tambahan, tapi bukan utama dibanding splint.",ikfr-uab, orthoses dan prostheses,3
13, Apakah kontraindikasi perkusi dan vibrasi? ,, Sesak napas , Batuk berdahak , Bronkospasme berat , Semua salah. , Postur abnormal,C,Sesak napas → justru indikasi relatif untuk membantu clearance sekret. Batuk berdahak → indikasi utama perkusi & vibrasi. Bronkospasme berat → kontraindikasi karena dapat memperburuk spasme dan distress respirasi. Semua salah → tidak benar. Postur abnormal → bukan kontraindikasi langsung.,ikfr-uab, rehabilitasi respirasi,3
14, Seorang perempuan berusia 58 tahun datang ke Puskesmas untuk kontrol setelah perawatan akibat luka bakar di pergelangan tangan kanan 1 hari yang lalu. Pemeriksaan fisik didapatkan pergelangan tangan kanan pasien pada posisi netral dan sulit digerakkan dan penyembuhan luka bakar tampak baik. Apakah modalitas yang mungkin digunakan oleh pasien ini? ,, TENS , Paraffin bath , USD , Hidroterapi , Infrared,A,"TENS → aman untuk fase akut (1 hari post luka bakar) untuk analgesia tanpa meningkatkan suhu jaringan. Paraffin bath → kontraindikasi pada fase akut luka bakar. USD → dapat meningkatkan panas, tidak dianjurkan fase akut. Hidroterapi → belum tepat pada fase sangat awal. Infrared → menghasilkan panas, tidak cocok fase akut.",ikfr-uab, rehabilitasi luka bakar,3
15, Seorang perempuan berusia 60 tahun datang ke Puskesmas dengan keluhan nyeri lutut kiri sejak 6 bulan yang lalu tanpa didahului trauma sebelumnya. Dari anamnesis dan pemeriksaan fisik didapatkan diagnosis osteoarthritis genu sinistra. Apakah pilihan modalitas fisik untuk pasien ini ? ,, Kompres dingin , TENS untuk mengurangi nyeri & Latihan isotonik untuk fase akut , TENS untuk mengurangi nyeri , Kompres dingin & TENS untuk mengurangi nyeri , Latihan isotonik untuk fase akut,C,"Kompres dingin → bisa membantu tapi bukan utama kronik OA. TENS + latihan isotonik fase akut → latihan isotonik bukan untuk fase akut nyeri. TENS → pilihan utama untuk kontrol nyeri OA. Kompres dingin + TENS → bisa, tapi TENS lebih utama sebagai modalitas utama. Latihan isotonik fase akut → tidak tepat, latihan dilakukan setelah nyeri terkontrol.",ikfr-uab, rehabilitasi osteoarthritis,4
16, Seorang laki laki pegawai administrasi berusia 54 tahun datang ke Puskesmas dengan kebas jari jari kanan dan kiri sejak 1 bulan yang lalu tanpa didahului trauma sebelumnya. Keluhan dirasakan sehari hari terutama saat beraktifitas mengetik lama. Apakah pemeriksaan yang diperlukan untuk pasien ini? ,, Pemeriksaan atrofi , Pemeriksaan fungsi tangan , Pemeriksaan sensorik , Semua benar , Pemeriksaan motorik,D,Pemeriksaan atrofi → penting untuk melihat denervasi kronis. Fungsi tangan → menilai dampak fungsional. Sensorik → penting karena keluhan kebas. Motorik → menilai kekuatan & saraf. Semua benar → semua aspek perlu untuk evaluasi komprehensif kemungkinan CTS/neuropati.,ikfr-uab, layanan dan modalitas kedokteran fisik dan rehabilitasi (general),2
17, Seorang perempuan berusia 64 tahun datang ke Pukesmas dengan keluhan nyeri leher sejak 1 bulan yang lalu tanpa didahului trauma sebelumnya. Nyeri dirasakan sehari hari terutama saat beraktifitas mengangkat cucian. Pada pemeriksaan fisik didapatkan spasme otot paracervical dan upper trapezius. Apakah program rehabilitasi yang dapat diberikan pada keluhan pasien ini? ,, Latihan penguatan otot , Semua benar , Latihan luas gerak sendi , Latihan keseimbangan , Latihan peregangan otot,B,Latihan penguatan → diperlukan untuk stabilitas otot. Latihan ROM → membantu mengurangi kekakuan. Latihan keseimbangan → mendukung fungsi postural. Peregangan otot → penting untuk spasme. Semua benar → kombinasi diperlukan pada nyeri leher dengan spasme otot.,ikfr-uab, rehabilitasi low back pain,2
18, Seorang anak berusia 4 tahun datang ke poli Rehabilitasi Medik karena belum dapat berjalan mandiri. Pada pemeriksaan fisik didapatkan sendi sendi tangan dan kaki lentur dan anak belum dapat duduk mandiri. Apakah program yang pertama diberikan pada pasien ini? ,, Latihan peregangan , Latihan berjalan , Latihan berdiri , Latihan duduk , Salah Semua,D,Peregangan → tidak prioritas pada hipotonia. Latihan berjalan → terlalu dini. Latihan berdiri → belum bisa karena belum duduk. Latihan duduk → tahap awal perkembangan motorik yang harus dicapai dulu. Salah semua → tidak tepat.,ikfr-uab, rehabilitasi pada down syndrome dan pediatri kebutuhan khusus,3
19, Seorang laki laki berusia 55 tahun datang ke praktik dokter dan disimpulkan pasien mengalami osteoarthritis genu dekstra. Apakah edukasi untuk pasien ini? ,, Latihan luas gerak sendi lutut aktif , Latihan penguatan otot dengan naik turun tangga , Latihan postur agar lutut tidak bengkok , Latihan aerobik yaitu lari pagi 30 menit/ hari , Semua benar.,A,Latihan ROM aktif → tepat untuk menjaga mobilitas sendi & mencegah kekakuan. Naik turun tangga → memberi beban tinggi pada lutut OA. Latihan postur → kurang spesifik sebagai edukasi utama OA. Lari 30 menit/hari → terlalu high impact untuk OA. Semua benar → tidak tepat karena ada opsi yang tidak dianjurkan.,ikfr-uab, rehabilitasi osteoarthritis,3
20," Seorang perempuan berusia 54 tahun datang ke Puskesmas dengan keluhan nyeri lutut kiri sejak 1 bulan yang lalu tanpa didahului trauma sebelumnya. Nyeri terutama dirasakan saat beraktifitas seperti berjalan jauh dan naik tangga. Kaku pada lutut dirasakan saat bangun pagi. Pada pemeriksaan fisik didapatkan krepitus. Menurut ACR, kriteria diagnosis Osteoartritis pada pasien ini adalah : ",," Usia di atas 50 tahun, krepitus, pembesaran tulang ", Semua benar. ," Nyeri lutut, rheumatoid factor kurang dari 1/40, usia di atas 50 tahun "," Krepitus, nyeri lutut, osteofit "," Nyeri lutut, osteofit, kaku sendi kurang dari 10 menit",E,Usia >50 + krepitus + pembesaran tulang → salah karena pembesaran tulang tidak disebut pada kasus. Semua benar → tidak tepat karena tidak semua kombinasi sesuai. Nyeri lutut + RF <1/40 + usia >50 → bukan kriteria utama ACR klinis. Krepitus + nyeri + osteofit → perlu radiologi (tidak disebut). Nyeri lutut + osteofit + kaku <10 menit → sesuai kriteria ACR OA.,ikfr-uab, rehabilitasi osteoarthritis,4
21, Seorang perempuan berusia 75 tahun datang ke Poli Rehabilitasi Medik dengan diagnosis osteoarthritis genu bilateral. Apakah pilihan alat bantu yang mungkin dapat mengurangi gejala klinis untuk pasien ini ? ,, Deker lutut & Kruk , Walker & Deker lutut , Kruk , Deker lutut , Walker,B,"Deker lutut + kruk → kruk butuh koordinasi & kurang stabil untuk lansia. Walker + deker lutut → kombinasi terbaik untuk stabilitas & support sendi. Kruk → kurang aman untuk usia lanjut. Deker lutut → hanya support lokal tanpa bantu mobilitas. Walker → baik, tapi tanpa support lutut kurang optimal.",ikfr-uab, rehabilitasi osteoarthritis,3
22, Seorang perempuan berusia 28 tahun datang ke Puskesmas untuk kontrol setelah perawatan akibat luka bakar di pergelangan tangan kanan 2 bulan yang lalu. Apakah Latihan yang harus dilakukan oleh pasien ini? ,, Semua benar , Latihan endurance , Latihan penguatan otot , Latihan luas gerak sendi , Latihan peregangan,A,Endurance → diperlukan untuk fungsi aktivitas. Penguatan → penting untuk stabilitas. ROM → menjaga fleksibilitas. Peregangan → mencegah kontraktur. Semua benar → seluruh komponen diperlukan pada fase rehabilitasi lanjut (2 bulan post luka bakar).,ikfr-uab, rehabilitasi luka bakar,2
23, Seorang laki laki berusia 55 tahun datang ke Klinik untuk kontrol setelah dirawat 1 bulan yang lalu di rumah sakit akibat tekanan darah tinggi dan peningkatan kadar kolesterol. Apakah aktivitas maksimal yang boleh dilakukan pasien di fase ini? ,, Duduk , Berjalan santai. , Naik tangga , Lari kecil , Latihan aerobik,B,Duduk → terlalu ringan. Berjalan santai → sesuai fase awal rehabilitasi kardiovaskular rawat jalan. Naik tangga → sudah masuk aktivitas lebih berat. Lari kecil → terlalu berat. Latihan aerobik → masih terlalu intens di fase ini.,ikfr-uab, rehabilitasi kardiovaskuler,4
24," Pasien Seorang laki laki berusia 40 tahun datang ke Puskesmas dengan sesak napas sejak 2 hari yang lalu. Sesak memberat terutama saat pasien beraktivitas. Sebelumnya pasien sudah sering mengalami sesak, pernah menjalani pemeriksaan di rumah sakit dan mendapat penjelasan bahwa dirinya menderita penyakit paru obstruktif kronis dan kesulitan mengeluarkan sekret. Tindakan apa yang perlu dilakukan ",, Latihan batuk , Semua benar , Nebulisasi , Postural drainage , Perkusi,B,Latihan batuk → membantu clearance sekret. Nebulisasi → membantu mengencerkan sekret. Postural drainage → membantu mobilisasi sekret. Perkusi → membantu pelepasan sekret. Semua benar → semua modalitas diperlukan pada COPD dengan retensi sekret.,ikfr-uab, rehabilitasi respirasi,4
25, Seorang laki laki berusia 38 tahun dirawat di rumah sakit akibat nyeri dada kiri mendadak. Pemeriksaan uji latih boleh dikerjakan dengan syarat apa? ,, Menderita gagal jantung , ECG stabil , Semua benar. , Didapatkan ronki basal paru , Nyeri dada kurang dari 8 jam,B,Gagal jantung → kontraindikasi relatif uji latih. ECG stabil → syarat utama sebelum exercise testing. Semua benar → salah karena ada opsi yang kontraindikasi. Ronki basal → tanda kongesti paru (tidak ideal). Nyeri dada <8 jam → kontraindikasi akut.,ikfr-uab, rehabilitasi kardiovaskuler,4
26," Seorang laki laki berusia 47 tahun datang ke Puskesmas karena menderita penyakit paru obstruktif kronis. Untuk membantu mengurangi sesak, dokter meresepkan nebulisasi dengan tujuan apa? ",, Mengencerkan dahak , Semua benar , Mengurangi nyeri , Dilatasi pembuluh darah , Relaksasi otot,A,Mengencerkan dahak → tujuan utama nebulisasi (membantu clearance sekret). Semua benar → salah karena bukan untuk nyeri atau vaskular. Mengurangi nyeri → bukan fungsi nebulisasi. Dilatasi pembuluh darah → bukan target utama terapi ini. Relaksasi otot → bukan efek utama pada COPD.,ikfr-uab, rehabilitasi respirasi,2
27," Seorang anak perempuan berusia 2 tahun dibawa oleh ibunya ke puskesmas karena belum bisa berjalan. Pasien mampu duduk mandiri secara aktif. Dari data pemeriksaan perkembangan di atas, kemampuan motorik pasien sebanding dengan anak usia berapa ? ",, 18 bulan , 24 bulan , 06 bulan (lihat di tabel denver II) , 12 bulan , 30 bulan,D,"18 bulan → sudah bisa berjalan. 24 bulan → jelas sudah berjalan. 6 bulan → hanya duduk dengan bantuan. 12 bulan → sesuai karena anak normal mulai berdiri/awal berjalan, jadi kemampuan duduk mandiri setara sekitar ini. 30 bulan → jauh lebih maju.",ikfr-uab, rehabilitasi pada down syndrome dan pediatri kebutuhan khusus,4
28, Seorang anak berusia 3 tahun datang ke poli Rehabilitasi Medik dengan keluhan belum lancer bicara. Pada pemeriksaan fisik pasien kesulitan fokus saat menata balok dan puzzle. Kontak mata sangat kurang saat pasien diajak berbicara. Apakah program Rehabilitasi yang diperlukan? ,, Terapi wicara , Terapi bermain , Terapi okupasi , Terapi wicara & Terapi okupasi , Terapi okupasi & Terapi bermain,D,Terapi wicara → perlu untuk keterlambatan bicara. Terapi bermain → membantu tapi tidak cukup spesifik. Terapi okupasi → penting untuk fokus & fungsi kognitif. Terapi wicara + okupasi → kombinasi tepat untuk speech delay + gangguan interaksi/fokus (arah ASD). Terapi okupasi + bermain → kurang menangani aspek bicara langsung.,ikfr-uab, rehabilitasi pada down syndrome dan pediatri kebutuhan khusus,3
29," Seorang perempuan berusia 35 tahun datang ke poli Rehabilitasi medik untuk kontrol setelah 2 minggu perawatan akibat luka bakar di siku kanan dan saat ini terasa nyeri, tanpa disertai tanda inflamasi lokal. Penyembuhan luka bakar tampak baik. Apakah modalitas fisiatrik yang mungkin digunakan oleh pasien ini ",, TENS. , Paraffin bath , USD , Hidroterapi , Infrared,A,"TENS → pilihan utama untuk nyeri tanpa inflamasi (fase subakut). Paraffin bath → panas, bisa tapi bukan utama. USD → bukan first line untuk nyeri ringan post burn. Hidroterapi → bukan pilihan utama nyeri lokal. Infrared → panas superfisial, kurang spesifik dibanding TENS.",ikfr-uab, rehabilitasi luka bakar,3
30, Seorang laki laki berusia 50 tahun datang ke Puskesmas dengan sesak napas sejak 3 hari yang lalu. Pada pemeriksaan fisik didapatkan pasien duduk dengan postur membungkuk ke depan. Hal tersebut perlu diperbaiki dengan latihan apa? ,, Pursed lip breathing , Breathing control , Latihan batuk , Latihan pengembangan paru , Postural control,A,"Pursed lip breathing → membantu mengurangi air trapping & memperbaiki pola napas pada COPD. Breathing control → lebih umum, tidak spesifik untuk kondisi ini. Latihan batuk → untuk sekret, bukan postur. Pengembangan paru → bukan utama pada COPD obstruktif. Postural control → tidak langsung mengatasi mekanisme sesak.",ikfr-uab, rehabilitasi respirasi,3
31,Seorang laki laki berusia 60 tahun dirawat di rumah sakit akibat nyeri dada kiri mendadak. Saat dirawat pasien mendapat penjelasan bahwa terjadi sumbatan pada pembuluh darah jantungnya. Pasien juga menderita tekanan darah tinggi dan peningkatan kadar kolesterol. Apakah kontra indikasi menjalani latihan untuk pasien ini ?,,Hitung nadi < 120 x/ menit, Diabetes mellitus ,Febris. , Tekanan darah sistolik < 180 mmHg, Semua benar,C,Nadi kurang < 120 → masih aman untuk latihan. Diabetes → bukan kontraindikasi absolut. Febris → kontraindikasi karena meningkatkan beban metabolik. TD sistolik <180 → masih dalam batas aman relatif. Semua benar → salah karena tidak semua merupakan kontraindikasi.,ikfr-uab, rehabilitasi kardiovaskuler,3
